Latitude and Longitude,Class of Land,Mean_RVI,
"(10.323727047081501, 105.49600971493871)",Non Rice,0.268603722,
"(10.32327281825184, 105.49600971493871)",Non Rice,0.281293074,
"(10.32281858942218, 105.49600971493871)",Non Rice,0.284168959,
"(10.322364360592521, 105.49600971493871)",Non Rice,0.286037962,
"(10.321910131762861, 105.49600971493871)",Non Rice,0.27161328,
"(10.321455902933202, 105.49600971493871)",Non Rice,0.249312957,
"(10.321001674103542, 105.49600971493871)",Non Rice,0.281611602,
"(10.325089733570481, 105.49646394376836)",Non Rice,0.281346718,
"(10.324635504740822, 105.49646394376836)",Non Rice,,
"(10.474349326996757, 105.53107618058692)",Non Rice,0.206390738,
"(10.473895098167096, 105.53107618058692)",Non Rice,0.216351132,
"(10.474349326996757, 105.53153040941655)",Non Rice,0.204904457,
"(10.473895098167096, 105.53153040941655)",Non Rice,0.218190074,
"(10.473440869337438, 105.53153040941655)",Non Rice,0.207818309,
"(10.474803555826417, 105.5319846382462)",Non Rice,0.21600467,
"(10.474349326996757, 105.5319846382462)",Non Rice,0.204807321,
"(10.473895098167096, 105.5319846382462)",Non Rice,0.214808444,
"(10.473440869337438, 105.5319846382462)",Non Rice,0.203259428,
"(10.472986640507777, 105.5319846382462)",Non Rice,0.204573651,
"(10.472532411678117, 105.5319846382462)",Non Rice,0.217595438,
"(10.474803555826417, 105.53243886707584)",Non Rice,0.213785191,
"(10.474349326996757, 105.53243886707584)",Non Rice,0.214602033,
"(10.473895098167096, 105.53243886707584)",Non Rice,0.21119382,
"(10.473440869337438, 105.53243886707584)",Non Rice,0.19824489,
"(10.472986640507777, 105.53243886707584)",Non Rice,0.21818014,
"(10.472532411678117, 105.53243886707584)",Non Rice,0.218951344,
"(10.472078182848456, 105.53243886707584)",Non Rice,0.208458006,
"(10.475257784656076, 105.53289309590548)",Non Rice,0.231892844,
"(10.474803555826417, 105.53289309590548)",Non Rice,0.225344459,
"(10.474349326996757, 105.53289309590548)",Non Rice,0.220934153,
"(10.473895098167096, 105.53289309590548)",Non Rice,0.223858913,
"(10.473440869337438, 105.53289309590548)",Non Rice,0.209824284,
"(10.472986640507777, 105.53289309590548)",Non Rice,0.204714417,
"(10.472532411678117, 105.53289309590548)",Non Rice,0.207979818,
"(10.472078182848456, 105.53289309590548)",Non Rice,0.210641523,
"(10.471623954018797, 105.53289309590548)",Non Rice,0.209697346,
"(10.471169725189137, 105.53289309590548)",Non Rice,0.208285491,
"(10.475257784656076, 105.53334732473513)",Non Rice,0.219655732,
"(10.474803555826417, 105.53334732473513)",Non Rice,0.219009479,
"(10.474349326996757, 105.53334732473513)",Non Rice,0.209996879,
"(10.473895098167096, 105.53334732473513)",Non Rice,0.221010149,
"(10.473440869337438, 105.53334732473513)",Non Rice,0.227164725,
"(10.472986640507777, 105.53334732473513)",Non Rice,0.209350566,
"(10.472532411678117, 105.53334732473513)",Non Rice,0.194996138,
"(10.472078182848456, 105.53334732473513)",Non Rice,0.204086185,
"(10.471623954018797, 105.53334732473513)",Non Rice,0.209830324,
"(10.471169725189137, 105.53334732473513)",Non Rice,0.204734802,
"(10.470715496359476, 105.53334732473513)",Non Rice,0.20298332,
"(10.470261267529818, 105.53334732473513)",Non Rice,0.214012404,
"(10.475712013485737, 105.53380155356476)",Non Rice,0.213621954,
"(10.475257784656076, 105.53380155356476)",Non Rice,0.218810558,
"(10.474803555826417, 105.53380155356476)",Non Rice,0.222123524,
"(10.474349326996757, 105.53380155356476)",Non Rice,0.208448092,
"(10.473895098167096, 105.53380155356476)",Non Rice,0.20191439,
"(10.473440869337438, 105.53380155356476)",Non Rice,0.209365785,
"(10.472986640507777, 105.53380155356476)",Non Rice,0.221516172,
"(10.472532411678117, 105.53380155356476)",Non Rice,0.221121073,
"(10.472078182848456, 105.53380155356476)",Non Rice,0.211580197,
"(10.471623954018797, 105.53380155356476)",Non Rice,0.20472753,
"(10.015305671742361, 105.8103360650496)",Non Rice,0.304952502,
"(10.015305671742361, 105.81079029387922)",Non Rice,0.329964121,
"(10.0148514429127, 105.81079029387922)",Non Rice,0.315527678,
"(10.015305671742361, 105.81124452270888)",Non Rice,0.317495147,
"(10.0148514429127, 105.81124452270888)",Non Rice,0.304432352,
"(10.014397214083042, 105.81124452270888)",Non Rice,0.299644689,
"(10.013942985253381, 105.81124452270888)",Non Rice,0.308710595,
"(10.015759900572021, 105.8116987515385)",Non Rice,0.311220209,
"(10.015305671742361, 105.8116987515385)",Non Rice,0.311521292,
"(10.0148514429127, 105.8116987515385)",Non Rice,0.3070605,
"(10.014397214083042, 105.8116987515385)",Non Rice,0.296017706,
"(10.013942985253381, 105.8116987515385)",Non Rice,0.305525939,
"(10.01348875642372, 105.8116987515385)",Non Rice,0.314158062,
"(10.015759900572021, 105.81215298036815)",Non Rice,0.316673358,
"(10.015305671742361, 105.81215298036815)",Non Rice,0.3261892,
"(10.0148514429127, 105.81215298036815)",Non Rice,0.3124909,
"(10.014397214083042, 105.81215298036815)",Non Rice,0.321739753,
"(10.013942985253381, 105.81215298036815)",Non Rice,0.307608763,
"(10.01348875642372, 105.81215298036815)",Non Rice,0.314014971,
"(10.013034527594062, 105.81215298036815)",Non Rice,0.313188593,
"(10.015759900572021, 105.81260720919778)",Non Rice,0.311813772,
"(10.015305671742361, 105.81260720919778)",Non Rice,0.322895269,
"(10.0148514429127, 105.81260720919778)",Non Rice,0.318395197,
"(10.014397214083042, 105.81260720919778)",Non Rice,0.30767256,
"(10.013942985253381, 105.81260720919778)",Non Rice,0.319789886,
"(10.01348875642372, 105.81260720919778)",Non Rice,0.324225187,
"(10.013034527594062, 105.81260720919778)",Non Rice,0.312103967,
"(10.012580298764401, 105.81260720919778)",Non Rice,0.315616469,
"(10.016214129401682, 105.81306143802743)",Non Rice,0.312688331,
"(10.015759900572021, 105.81306143802743)",Non Rice,0.311040858,
"(10.015305671742361, 105.81306143802743)",Non Rice,0.317178269,
"(10.0148514429127, 105.81306143802743)",Non Rice,0.313422501,
"(10.014397214083042, 105.81306143802743)",Non Rice,0.317881405,
"(10.013942985253381, 105.81306143802743)",Non Rice,0.311736306,
"(10.01348875642372, 105.81306143802743)",Non Rice,0.287089825,
"(10.013034527594062, 105.81306143802743)",Non Rice,0.300340931,
"(10.012580298764401, 105.81306143802743)",Non Rice,0.318449497,
"(10.012126069934741, 105.81306143802743)",Non Rice,0.32876275,
"(10.01167184110508, 105.81306143802743)",Non Rice,0.331009269,
"(10.016214129401682, 105.81351566685709)",Non Rice,0.302795152,
"(10.015759900572021, 105.81351566685709)",Non Rice,0.303720812,
"(10.015305671742361, 105.81351566685709)",Non Rice,0.321924289,
"(10.0148514429127, 105.81351566685709)",Non Rice,0.307617684,
"(10.014397214083042, 105.81351566685709)",Non Rice,0.309531113,
"(10.013942985253381, 105.81351566685709)",Non Rice,0.303476036,
"(10.01348875642372, 105.81351566685709)",Non Rice,0.246763706,
"(10.013034527594062, 105.81351566685709)",Non Rice,0.248948177,
"(10.012580298764401, 105.81351566685709)",Non Rice,0.307873011,
"(10.012126069934741, 105.81351566685709)",Non Rice,0.321881652,
"(10.01167184110508, 105.81351566685709)",Non Rice,0.321585099,
"(10.009400696956781, 105.67088781435012)",Non Rice,0.233246525,
"(10.0103091546161, 105.67134204317975)",Non Rice,0.265938481,
"(10.009854925786442, 105.67134204317975)",Non Rice,0.242702564,
"(10.009400696956781, 105.67134204317975)",Non Rice,0.224153658,
"(10.008946468127121, 105.67134204317975)",Non Rice,0.241046727,
"(10.010763383445761, 105.6717962720094)",Non Rice,0.24210465,
"(10.0103091546161, 105.6717962720094)",Non Rice,0.262016614,
"(10.009854925786442, 105.6717962720094)",Non Rice,0.254283051,
"(10.009400696956781, 105.6717962720094)",Non Rice,0.250934263,
"(10.008946468127121, 105.6717962720094)",Non Rice,0.237708747,
"(10.00849223929746, 105.6717962720094)",Non Rice,0.253126482,
"(10.01167184110508, 105.67225050083903)",Non Rice,0.247801979,
"(10.011217612275422, 105.67225050083903)",Non Rice,0.206897755,
"(10.010763383445761, 105.67225050083903)",Non Rice,0.246875286,
"(10.0103091546161, 105.67225050083903)",Non Rice,0.257077614,
"(10.009854925786442, 105.67225050083903)",Non Rice,0.244444033,
"(10.009400696956781, 105.67225050083903)",Non Rice,0.263289014,
"(10.008946468127121, 105.67225050083903)",Non Rice,0.261902551,
"(10.00849223929746, 105.67225050083903)",Non Rice,0.241533975,
"(10.008038010467802, 105.67225050083903)",Non Rice,0.243059357,
"(10.012580298764401, 105.67270472966868)",Non Rice,0.225080729,
"(10.012126069934741, 105.67270472966868)",Non Rice,0.240147074,
"(10.01167184110508, 105.67270472966868)",Non Rice,0.239190062,
"(10.011217612275422, 105.67270472966868)",Non Rice,0.205482165,
"(10.010763383445761, 105.67270472966868)",Non Rice,0.247884611,
"(10.0103091546161, 105.67270472966868)",Non Rice,0.234231353,
"(10.009854925786442, 105.67270472966868)",Non Rice,0.236785154,
"(10.009400696956781, 105.67270472966868)",Non Rice,0.259545167,
"(10.008946468127121, 105.67270472966868)",Non Rice,0.238761485,
"(10.00849223929746, 105.67270472966868)",Non Rice,0.238342802,
"(10.008038010467802, 105.67270472966868)",Non Rice,0.230028609,
"(10.007583781638141, 105.67270472966868)",Non Rice,0.237815281,
"(10.013034527594062, 105.6731589584983)",Non Rice,0.232691824,
"(10.012580298764401, 105.6731589584983)",Non Rice,0.21759218,
"(10.012126069934741, 105.6731589584983)",Non Rice,0.232420623,
"(10.01167184110508, 105.6731589584983)",Non Rice,0.226248205,
"(10.011217612275422, 105.6731589584983)",Non Rice,0.256582161,
"(10.010763383445761, 105.6731589584983)",Non Rice,0.257723113,
"(10.0103091546161, 105.6731589584983)",Non Rice,0.239400804,
"(10.009854925786442, 105.6731589584983)",Non Rice,0.238398631,
"(10.009400696956781, 105.6731589584983)",Non Rice,0.242533326,
"(10.008946468127121, 105.6731589584983)",Non Rice,0.233907998,
"(10.00849223929746, 105.6731589584983)",Non Rice,0.230122825,
"(10.008038010467802, 105.6731589584983)",Non Rice,0.247574965,
"(10.007583781638141, 105.6731589584983)",Non Rice,0.257114549,
"(10.013942985253381, 105.67361318732796)",Non Rice,0.240279416,
"(10.01348875642372, 105.67361318732796)",Non Rice,0.257496476,
"(10.013034527594062, 105.67361318732796)",Non Rice,0.23301508,
"(10.012580298764401, 105.67361318732796)",Non Rice,0.230642438,
"(10.012126069934741, 105.67361318732796)",Non Rice,0.239126722,
